AnimalID,Age,Sex,Genotype,Strain,ExpName,Housing,LightCycle,PISiteUser,SessionName,Image,Image_Description,Analysis_Name,Schedule_Name,Max_Number_Trials,Max_Schedule_Time,Date_Time,Stimulus_Duration,Intervention,AVG_Omissions - Total,AVG_Perseverative Correct - Total,AVG_Perseverative Incorrect - Total,AVG_Premature Responses - Total,AVG_Reward Collection Latency,AVG_Threshold - Accuracy %,AVG_Threshold - Condition,AVG_Threshold - Omission %,AVG_Threshold - Trials,AVG_Trial Analysis - Accuracy%,AVG_Trial Analysis - Correct,AVG_Trial Analysis - Correct Response Latency,AVG_Trial Analysis - Incorrect,AVG_Trial Analysis - Incorrect Response Latency,AVG_Trial Analysis - Omission,AVG_Trial Analysis - Omission%,AVG_Trial Analysis - Premature,AVG_Trial Analysis - Reward Collection Latency,AVG_Trial Analysis - Stimulus Duration
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-02 3:21:01 PM,2000,First touchscreen task performed with the mice,7,13,4,5,1.185542857142857,81.4,2102.622,14,50,78.9795918367347,1,1.4428285714285718,1,2.3943749999999997,1,23.512082391304354,1.25,1.185542857142857,2
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-03 10:22:55 AM,2000,First touchscreen task performed with the mice,7,5,1,8,1.0583939393939394,76.7,2838.219,14,50,67.35208333333331,1,1.3626666666666667,1,2.4143333333333334,1,15.59412932,1.1428571428571428,1.0583939393939394,2
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-06 3:34:00 PM,2000,First touchscreen task performed with the mice,7,3,1,9,1.0531515151515154,76.7,2846.516,14,50,67.75833333333334,1,1.0752424242424243,1,1.2974,1,25.56899120000001,1.125,1.0531515151515152,2
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-07 3:40:57 PM,2000,First touchscreen task performed with the mice,10,6,1,6,1.0614838709677419,77.5,2169.735,20,50,73.69375000000001,1,1.124935483870968,1,2.8025555555555552,1,23.591427000000003,1,1.061483870967742,2
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-08 4:05:26 PM,2000,First touchscreen task performed with the mice,11,9,7,3,1.1998571428571425,89.7,1828.925,22,50,90.06666666666668,1,1.1194,1,1.67425,1,32.8742112244898,1,1.1998571428571427,2
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-09 3:30:32 PM,2000,First touchscreen task performed with the mice,9,7,1,2,1.5015,92.7,2193.005,18,50,91.73478260869568,1,1.1949473684210528,1,2.2006666666666668,1,32.22750060000001,1,1.5014999999999998,2
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-10 3:12:37 PM,2000,First touchscreen task performed with the mice,4,3,1,2,1.024,97.8,1425.143,8,50,92.5795918367347,1,1.2598000000000005,1,6.108,1,8.107469282051282,1,1.024,2
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-13 4:16:01 PM,2000,First touchscreen task performed with the mice,2,39,,6,1.261837209302326,89.6,1263.987,4,50,79.35625,1,1.0570930232558142,1,1.5173999999999999,1,10.006847040000004,2,1.261837209302326,2
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-19 3:00:40 PM,4000,First touchscreen task performed with the mice,14,3,,4,1.0754074074074071,75,1399.759,28,50,72.83333333333336,1,1.7845555555555555,1,3.4964444444444442,1,29.9823066,1.3333333333333333,1.0754074074074071,4
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-20 1:53:56 PM,4000,First touchscreen task performed with the mice,12,2,,13,1.0416923076923075,68.4,2098.004,24,50,72.52199999999999,1,1.7427692307692308,1,2.7135833333333337,1,19.49809081632654,1.4444444444444444,1.0416923076923075,4
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-23 3:21:10 PM,4000,First touchscreen task performed with the mice,3,8,1,18,1.3802432432432432,78.7,2601.218,6,50,88.642,1,1.7946216216216215,1,2.3843000000000005,1,6.149834371428572,1.5,1.3802432432432432,4
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-24 2:45:46 PM,4000,First touchscreen task performed with the mice,14,3,,14,0.9894411764705884,94.4,2296.712,28,50,92.4387755102041,1,1.5960294117647058,1,3.4425,1,32.911485,1.4,0.9894411764705884,4
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-27 2:32:53 PM,4000,First touchscreen task performed with the mice,9,5,,5,1.0050526315789474,92.7,2389.776,18,50,93.87083333333334,1,2.0034736842105265,1,2.5383333333333336,1,22.893125799999996,1.25,1.0050526315789474,4
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-28 1:57:27 PM,4000,First touchscreen task performed with the mice,6,18,1,20,1.8041794871794876,88.6,2170.004,12,50,81.675,1,1.6932051282051281,1,2.8975999999999997,1,14.703118660000003,1.3333333333333333,1.8041794871794876,4
H903Bm2,3_6       ,m,VAChT^flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Training,,,Cam Mouse5C Touch Var1,5CSRTT_4s_Var1,50,3600,2015-03-29 4:47:38 PM,4000,First touchscreen task performed with the mice,2,11,4,15,1.2814761904761907,87.5,2010.079,4,50,92.03469387755104,1,1.5660714285714283,1,1.952333333333333,1,9.038410540000001,1.25,1.2814761904761907,4
H904Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-24 3:39:45 PM,2000,First touchscreen task performed with the mice,11,3,,,1.4165882352941175,87.2,1587.317,22,50,80.91458333333331,1,1.2241176470588235,1,2.7358000000000002,1,25.01081836734694,,1.4165882352941175,2
H904Bm1,3_6       ,m,VAChT^D2-Cre-flox/flox,VAChT^D2-Cre-flox/flox,OK_D2CreVAChTfx_5Choice,Single-housed,Diurnal light cycle,Dr. Marco Prado - Robarts Research Institute - Ornela-Kljakic,Intra_Probe,,,Cam Mouse5C Touch Var1,5CSRTT_2s_Var1,50,3600,2015-04-29 4:12:06 PM,2000,First touchscreen task performed with the mice,7,7,1,2,1.358121212121212,76.7,1461.409,14,50,74.68571428571428,1,1.094939393939394,1,2.0498000000000003,1,18.76350986000001,1,1.358121212121212,2
